iter	Logloss
0	0.6117807385
1	0.5465024116
2	0.4906422875
3	0.4442301908
4	0.4059941031
5	0.3734114405
6	0.3457402776
7	0.3241242183
8	0.304630484
9	0.2883278102
10	0.2742337871
11	0.2617906798
12	0.2516115835
13	0.2433153715
14	0.2348791101
15	0.2283058386
16	0.222368129
17	0.2177629481
18	0.2130468279
19	0.2090734634
20	0.2054372774
21	0.2023779614
22	0.2000651999
23	0.1977532119
24	0.1954923774
25	0.1933086239
26	0.1914891526
27	0.1898360036
28	0.1879936131
29	0.1868166805
30	0.1855513066
31	0.1845670148
32	0.1834883375
33	0.1824721112
34	0.1817832618
35	0.1809566984
36	0.1802536314
37	0.179525023
38	0.1787922183
39	0.1782925149
40	0.1777734503
41	0.1772895353
42	0.1766997178
43	0.1760147108
44	0.1755617877
45	0.1750116896
46	0.174751424
47	0.174424273
48	0.1740891227
49	0.173531241
50	0.1731750877
51	0.1728708468
52	0.1725154067
53	0.1721090471
54	0.1717723471
55	0.1711749139
56	0.1708102496
57	0.1704966533
58	0.1699925692
59	0.1697953569
60	0.1695861896
61	0.1691728138
62	0.1689168769
63	0.1684997906
64	0.16829494
65	0.1679790836
66	0.1677108075
67	0.167530403
68	0.1672754499
69	0.1671077793
70	0.1668941128
71	0.1667486267
72	0.1666298376
73	0.1663205899
74	0.1661665376
75	0.1659369411
76	0.1657275158
77	0.1655882831
78	0.1654061127
79	0.165248891
80	0.1648088365
81	0.1645966466
82	0.1642799888
83	0.1640616478
84	0.1636427051
85	0.1633646974
86	0.1629532417
87	0.1627945522
88	0.1626971899
89	0.1625653986
90	0.1624015959
91	0.1623193783
92	0.162208153
93	0.1621097594
94	0.1619936839
95	0.1619088759
96	0.1618153498
97	0.1617224943
98	0.1616173625
99	0.1614549413
100	0.1612716314
101	0.1612047415
102	0.1610834323
103	0.1609295432
104	0.1608096346
105	0.1606987287
106	0.1603270287
107	0.1601739465
108	0.160024167
109	0.1599096973
110	0.1598159688
111	0.1597244603
112	0.1596033596
113	0.1594538518
114	0.1594059775
115	0.1592035258
116	0.1591246064
117	0.158948423
118	0.1588418957
119	0.1587832922
120	0.1586736197
121	0.1584932333
122	0.1583758159
123	0.158310064
124	0.1582630784
125	0.1579930032
126	0.1579333867
127	0.157819363
128	0.157713336
129	0.1576405805
130	0.1575279139
131	0.1573942968
132	0.1573436698
133	0.1572420543
134	0.1571426989
135	0.1570576821
136	0.1569511358
137	0.156875036
138	0.1567802805
139	0.1567067132
140	0.1564701309
141	0.156303055
142	0.1562222703
143	0.1559790694
144	0.1559011363
145	0.1558175888
146	0.1557822266
147	0.1556279566
148	0.1555652393
149	0.1555011718
150	0.1554562922
151	0.155359249
152	0.1552248267
153	0.1552146186
154	0.1551259042
155	0.1550342333
156	0.1548861906
157	0.1548166019
158	0.1547482536
159	0.1546741823
160	0.1546020657
161	0.1545295068
162	0.1544620888
163	0.1541887566
164	0.1541089693
165	0.154031457
166	0.1538386216
167	0.1537671028
168	0.1536990119
169	0.1536286325
170	0.1534065518
171	0.1532546416
172	0.1532211839
173	0.1531656211
174	0.1530839717
175	0.1530163959
176	0.1529675298
177	0.1529229731
178	0.1528599797
179	0.1527936727
180	0.1526521196
181	0.1526174526
182	0.1525668682
183	0.1525217074
184	0.1523317
185	0.152271049
186	0.1522296515
187	0.1521619859
188	0.1519244433
189	0.1518513015
190	0.1516636648
191	0.1515317638
192	0.151487113
193	0.1514351753
194	0.1512407213
195	0.1511785763
196	0.1510891945
197	0.1510327955
198	0.1509639533
199	0.1508585712
200	0.1508130489
201	0.1507554882
202	0.1506317211
203	0.1504987435
204	0.1504565891
205	0.1504007409
206	0.150291686
207	0.1501699247
208	0.1500405199
209	0.1499678036
210	0.1498496592
211	0.1498044102
212	0.1497447
213	0.1496785132
214	0.1496412596
215	0.1494532699
216	0.149395432
217	0.1493293453
218	0.1492634601
219	0.1492048323
220	0.1491157824
221	0.1490478734
222	0.1488920975
223	0.1488585944
224	0.148791515
225	0.1486427296
226	0.1484922325
227	0.1484324466
228	0.1483450764
229	0.1481829551
230	0.1481510489
231	0.1480985808
232	0.1480314442
233	0.1479447112
234	0.1478138479
235	0.1477334019
236	0.147682877
237	0.1476062192
238	0.1475514983
239	0.1475076788
240	0.1473435263
241	0.1472233184
242	0.1471101887
243	0.1470725445
244	0.1469303203
245	0.1468386316
246	0.1467341322
247	0.1466198039
248	0.146494993
249	0.1464377049
